Simulations,Pedestrian,Real X,Predicted X,SSE X,Real Y,Predicted Y,SSE Y
430,0,700,698.5944679,1.975520552,1076,1062.973986,169.6770452
430,1,734,734.7999003,0.639840436,1184,1191.445861,55.44085341
430,2,733,734.7604888,3.099320943,1234,1245.687291,136.5927671
440,0,700,698.6942232,1.70505299,1076,1062.704487,176.7706555
440,1,734,735.1203787,1.255248522,1184,1190.382526,40.73664154
440,2,733,734.1491041,1.320440259,1234,1246.257998,150.2585227
450,0,700,699.7942515,0.042332463,1076,1061.975327,196.6914466
450,1,734,734.9556862,0.913336069,1184,1190.958863,48.42577933
450,2,733,734.8114217,3.281248604,1234,1245.712622,137.1855106
460,0,700,698.7297077,1.613642638,1076,1062.854309,172.8092
460,1,734,734.1355592,0.018376298,1184,1190.942594,48.19960757
460,2,733,734.9998017,3.999206998,1234,1246.98752,168.6756645
470,0,700,698.992073,1.015916853,1076,1063.336949,160.3528633
470,1,734,734.6160203,0.379481039,1184,1191.006982,49.09779896
470,2,733,734.6686493,2.784390462,1234,1246.241018,149.8425138
480,0,700,698.4492047,2.404966173,1076,1063.258045,162.3574108
480,1,734,734.8058195,0.649345143,1184,1191.159712,51.26147697
480,2,733,734.2293488,1.51129841,1234,1246.893297,166.2371106
490,0,700,699.4682967,0.282708389,1076,1062.444392,183.7544977
490,1,734,734.8461816,0.716023317,1184,1190.497087,42.21213919
490,2,733,734.5629707,2.442877404,1234,1246.639584,159.7590925
500,0,700,699.2366957,0.582633499,1076,1062.582497,180.0293883
500,1,734,735.5462133,2.390775623,1184,1190.661342,44.37347148
500,2,733,734.8892656,3.569324403,1234,1246.59712,158.687438
510,0,700,698.7900455,1.463989858,1076,1063.480592,156.7355669
510,1,734,734.6279936,0.394375913,1184,1191.364247,54.23212951
510,2,733,733.9951812,0.990385671,1234,1246.969382,168.2048805
520,0,700,699.2195986,0.609026378,1076,1062.878929,172.1624979
520,1,734,735.712351,2.932145917,1184,1189.749307,33.05453479
520,2,733,735.2617773,5.11563638,1234,1245.710673,137.1398642
530,0,700,698.7990268,1.442336626,1076,1063.455552,157.3631769
530,1,734,735.0848693,1.176941309,1184,1190.778903,45.9535216
530,2,733,734.9647947,3.860418317,1234,1246.729922,162.0509029
540,0,700,699.0143828,0.97144124,1076,1064.131363,140.8645375
540,1,734,735.5798997,2.496083077,1184,1190.193069,38.35409772
540,2,733,735.2985266,5.283224719,1234,1245.782491,138.8271036
550,0,700,699.0774236,0.851147162,1076,1062.57108,180.3359043
550,1,734,735.7176834,2.950436422,1184,1191.082738,50.16517509
550,2,733,735.1602132,4.666521252,1234,1246.916417,166.8338282
560,0,700,698.8867886,1.239239556,1076,1063.742414,150.2484189
560,1,734,734.7524824,0.566229764,1184,1190.894378,47.53244741
560,2,733,735.4032774,5.775742272,1234,1247.479037,181.684449
570,0,700,698.1106831,3.569518492,1076,1062.696575,176.9811111
570,1,734,734.4934703,0.243512901,1184,1191.294983,53.21677864
570,2,733,734.7995949,3.238541794,1234,1246.552049,157.5539253
580,0,700,699.7221127,0.077221328,1076,1062.177838,191.0521526
580,1,734,735.1845881,1.403248928,1184,1190.051035,36.61501864
580,2,733,735.3392533,5.472106162,1234,1246.116844,146.8179125
590,0,700,698.975207,1.050200721,1076,1063.891638,146.6124331
590,1,734,735.2214418,1.491920129,1184,1190.176556,38.14984174
590,2,733,735.607458,6.798837423,1234,1245.142151,124.1475193
600,0,700,699.487652,0.262500481,1076,1063.267989,162.104107
600,1,734,734.7470323,0.558057214,1184,1191.200228,51.84327703
600,2,733,734.8950808,3.591331113,1234,1245.694359,136.7580409
610,0,700,698.652495,1.815769753,1076,1063.125339,165.7569084
610,1,734,734.633081,0.400791588,1184,1191.336938,53.83066287
610,2,733,734.0991849,1.208207361,1234,1246.515585,156.6398776
620,0,700,699.5063533,0.243687073,1076,1064.159808,140.1901472
620,1,734,735.0768774,1.159664848,1184,1191.359201,54.15783597
620,2,733,734.4286199,2.040954902,1234,1245.803592,139.3247891
630,0,700,698.3227307,2.81323239,1076,1063.005432,168.8587869
630,1,734,735.3286648,1.765350063,1184,1191.891626,62.27776231
630,2,733,734.9768645,3.907993199,1234,1245.626466,135.1747017
640,0,700,699.064717,0.874754315,1076,1062.459665,183.3406825
640,1,734,734.8557074,0.732235144,1184,1190.371587,40.5971208
640,2,733,734.2795986,1.637372461,1234,1246.528902,156.9733884
650,0,700,698.7764839,1.496991582,1076,1062.812895,173.8997475
650,1,734,735.5305471,2.342574457,1184,1189.778237,33.38802829
650,2,733,735.1109237,4.455998736,1234,1245.335723,128.4986168
660,0,700,700.0248633,0.000618182,1076,1062.964258,169.9305793
660,1,734,735.0904438,1.189067646,1184,1191.851048,61.63896149
660,2,733,734.8275863,3.340071772,1234,1246.876593,165.8066409
670,0,700,698.9281394,1.148885199,1076,1063.845841,147.7235763
670,1,734,734.9153556,0.837875939,1184,1191.652565,58.56175462
670,2,733,735.340792,5.479307207,1234,1246.551641,157.5436907
680,0,700,698.7548046,1.550511547,1076,1062.759763,175.3038635
680,1,734,735.1012544,1.212761352,1184,1191.073189,50.03000254
680,2,733,735.2560511,5.089766737,1234,1245.167919,124.7224132
690,0,700,699.0604491,0.882755876,1076,1064.066267,142.4139807
690,1,734,735.0349181,1.071055415,1184,1192.46162,71.59901455
690,2,733,734.4873841,2.212311453,1234,1245.346797,128.7497977
700,0,700,698.92749,1.150277792,1076,1063.259746,162.3140791
700,1,734,735.6971672,2.88037658,1184,1190.736706,45.38321011
700,2,733,735.2282327,4.965020769,1234,1245.315865,128.0487945
710,0,700,699.1486828,0.724740978,1076,1062.737543,175.8927713
710,1,734,735.5121353,2.286553016,1184,1190.279796,39.43584154
710,2,733,735.2521171,5.072031401,1234,1246.2532,150.140922
720,0,700,699.230347,0.592365803,1076,1062.95455,170.1837778
720,1,734,735.3340676,1.77973646,1184,1191.823459,61.20650562
720,2,733,734.4776018,2.18330716,1234,1246.265363,150.4391271
730,0,700,699.4515896,0.300754004,1076,1062.92159,171.0448186
730,1,734,734.9616471,0.924765077,1184,1190.760885,45.70956464
730,2,733,734.7122009,2.93163196,1234,1245.597153,134.493956
740,0,700,698.7105059,1.662795009,1076,1063.892586,146.58948
740,1,734,734.9056931,0.820279917,1184,1190.733305,45.33739874
740,2,733,734.7166063,2.946737317,1234,1245.17504,124.8815244
750,0,700,699.1836369,0.666448659,1076,1063.327317,160.5969019
750,1,734,735.0382762,1.07801757,1184,1190.752135,45.59132246
750,2,733,734.2129541,1.471257727,1234,1246.017676,144.4245369
760,0,700,698.6458787,1.833644619,1076,1063.366033,159.6171222
760,1,734,734.7433186,0.55252258,1184,1190.806335,46.32619335
760,2,733,735.1674859,4.6979951,1234,1246.643354,159.8544014
770,0,700,699.7391933,0.068020135,1076,1063.19152,164.0571611
770,1,734,734.8278872,0.68539728,1184,1190.662278,44.38594543
770,2,733,734.9784485,3.914258274,1234,1245.720078,137.3602252
780,0,700,698.9392447,1.125201712,1076,1062.996398,169.093652
780,1,734,734.6342185,0.402233132,1184,1190.548335,42.88069183
780,2,733,734.5349182,2.355973887,1234,1246.150783,147.6415396
790,0,700,699.4883971,0.261737489,1076,1063.612591,153.4478904
790,1,734,734.6312957,0.398534286,1184,1191.483139,55.99736758
790,2,733,735.1892877,4.792980572,1234,1244.857084,117.8762769
800,0,700,699.129599,0.757597874,1076,1063.094505,166.5517994
800,1,734,735.2703466,1.61378046,1184,1189.797083,33.60617314
800,2,733,734.6531745,2.732985897,1234,1245.519171,132.691301
810,0,700,698.6822059,1.736581299,1076,1062.528149,181.4907757
810,1,734,735.1502503,1.323075839,1184,1190.496147,42.1999272
810,2,733,735.0185475,4.074533844,1234,1246.246712,149.9819463
820,0,700,698.5953475,1.973048726,1076,1063.044033,167.8570859
820,1,734,734.9713457,0.943512372,1184,1190.560039,43.03411682
820,2,733,734.9576041,3.832213726,1234,1246.005057,144.121385
830,0,700,698.8066045,1.424192865,1076,1062.519127,181.7339353
830,1,734,734.8261978,0.682602786,1184,1191.836413,61.40937299
830,2,733,734.575593,2.482493333,1234,1246.127212,147.0692811
840,0,700,698.2894696,2.925914165,1076,1063.603136,153.6822376
840,1,734,735.1017305,1.213810091,1184,1190.948716,48.28465271
840,2,733,734.4036138,1.970131695,1234,1245.819729,139.7059965
850,0,700,699.2654886,0.53950701,1076,1064.233453,138.4516347
850,1,734,735.3809077,1.906906174,1184,1190.729397,45.2847853
850,2,733,734.9407435,3.766485346,1234,1244.916654,119.1733399
860,0,700,699.0156697,0.968906182,1076,1063.136272,165.4754881
860,1,734,734.4311768,0.185913407,1184,1190.496332,42.20232666
860,2,733,734.5639489,2.445936282,1234,1244.932937,119.5291076
870,0,700,699.0568192,0.889590077,1076,1063.094887,166.541933
870,1,734,735.3074951,1.709543496,1184,1191.215364,52.06148289
870,2,733,734.5649222,2.448981365,1234,1246.063341,145.5241928
880,0,700,699.3808598,0.383334634,1076,1062.950754,170.2828112
880,1,734,735.0985274,1.206762554,1184,1190.796533,46.19286446
880,2,733,734.6708922,2.791880597,1234,1245.614938,134.906774
890,0,700,698.7824588,1.482406548,1076,1062.895263,171.7341272
890,1,734,735.0282376,1.057272517,1184,1190.41526,41.15556679
890,2,733,734.1685403,1.365486406,1234,1246.073666,145.7734092
900,0,700,698.738037,1.592550506,1076,1062.568067,180.4168343
900,1,734,735.071523,1.148161595,1184,1190.498412,42.22936341
900,2,733,734.7460831,3.048806052,1234,1245.817946,139.6638471
910,0,700,698.5103544,2.219044089,1076,1063.082836,166.8531206
910,1,734,734.9464343,0.895737929,1184,1190.707075,44.98485212
910,2,733,735.1721944,4.718428627,1234,1245.868415,140.8592671
920,0,700,699.094787,0.819410603,1076,1063.193391,164.0092335
920,1,734,734.6167099,0.3803311,1184,1190.687039,44.71649676
920,2,733,734.960736,3.84448584,1234,1245.131398,123.9080243
930,0,700,698.5505068,2.101030565,1076,1063.263904,162.2081504
930,1,734,734.8100467,0.656175662,1184,1189.927455,35.13471686
930,2,733,734.4558933,2.119625332,1234,1246.66616,160.4316201
940,0,700,699.1724539,0.684832607,1076,1063.130861,165.6147297
940,1,734,735.1485103,1.319075876,1184,1191.619929,58.06331686
940,2,733,734.6393175,2.687361825,1234,1244.92798,119.4207419
950,0,700,699.1228137,0.76945582,1076,1063.351534,159.9836847
950,1,734,734.7481787,0.559771306,1184,1190.55718,42.99660341
950,2,733,735.381005,5.669184772,1234,1245.851656,140.4617492
960,0,700,698.7738204,1.503516363,1076,1063.500597,156.2350634
960,1,734,735.3145058,1.727925619,1184,1190.874664,47.26100592
960,2,733,735.2665818,5.13739328,1234,1245.89875,141.5802399
970,0,700,698.9647717,1.07169766,1076,1063.735779,150.4111192
970,1,734,734.8168599,0.667260175,1184,1191.874636,62.0098958
970,2,733,734.0403597,1.082348254,1234,1245.86509,140.7803719
980,0,700,697.9313583,4.279278303,1076,1063.513429,155.9144481
980,1,734,735.3118872,1.721048139,1184,1190.512529,42.4130323
980,2,733,734.6645024,2.77056822,1234,1245.819657,139.7042983
990,0,700,699.0137238,0.972740653,1076,1063.579253,154.2749676
990,1,734,734.4749835,0.225609291,1184,1190.528703,42.62396202
990,2,733,734.67023,2.789668228,1234,1245.881946,141.1806334
1000,0,700,699.0565759,0.890049087,1076,1063.708108,151.0906029
1000,1,734,734.4858382,0.236038712,1184,1191.014171,49.19859229
1000,2,733,734.9418268,3.770691492,1234,1246.095011,146.2893018
1010,0,700,698.8063333,1.424840202,1076,1063.008437,168.7807068
1010,1,734,735.033957,1.069067071,1184,1190.316929,39.90358985
1010,2,733,735.1227727,4.506164127,1234,1245.784762,138.8806128
1020,0,700,698.3732797,2.646219039,1076,1063.19367,164.0020967
1020,1,734,735.236084,1.527903721,1184,1191.141575,51.00209326
1020,2,733,735.3690865,5.612570856,1234,1245.808089,139.4309719
1030,0,700,698.1909715,3.272584026,1076,1063.414276,158.4004454
1030,1,734,735.51729,2.302168957,1184,1190.693703,44.80566296
1030,2,733,734.5022253,2.256680983,1234,1245.964026,143.1379095
1040,0,700,698.050073,3.802215169,1076,1063.649567,152.5332073
1040,1,734,735.294928,1.676838557,1184,1191.266571,52.8030556
1040,2,733,734.643921,2.702476225,1234,1246.1747,148.2233244
1050,0,700,698.7992533,1.441792682,1076,1062.748488,175.6025832
1050,1,734,734.6656713,0.443118279,1184,1191.362628,54.20828859
1050,2,733,733.9960005,0.992016998,1234,1246.282809,150.8674008
1060,0,700,699.0412087,0.919280727,1076,1063.302562,161.2249201
1060,1,734,735.2551649,1.575439019,1184,1191.967582,63.4823571
1060,2,733,734.7118604,2.930465989,1234,1245.741936,137.8730595
1070,0,700,699.1232317,0.768722678,1076,1063.341232,160.2444107
1070,1,734,735.0074272,1.014909658,1184,1190.157971,37.92060661
1070,2,733,735.1200988,4.494818827,1234,1246.07926,145.9085231
1080,0,700,699.3034015,0.485249467,1076,1063.461772,157.2071716
1080,1,734,735.5663247,2.453373148,1184,1190.134406,37.63093383
1080,2,733,734.8061341,3.262120213,1234,1246.095414,146.2990442
1090,0,700,699.0668705,0.870730667,1076,1062.972793,169.7081221
1090,1,734,734.9629661,0.927303734,1184,1190.756654,45.65237915
1090,2,733,735.337015,5.461638939,1234,1246.565589,157.8940162
1100,0,700,698.5266452,2.170774323,1076,1063.526396,155.590797
1100,1,734,735.3130695,1.724151545,1184,1191.408236,54.88195754
1100,2,733,734.4776402,2.183420492,1234,1245.75029,138.0693065
1110,0,700,698.683384,1.733477648,1076,1062.746177,175.663816
1110,1,734,735.1695675,1.367888203,1184,1191.577235,57.41449566
1110,2,733,734.8264152,3.335792388,1234,1246.613471,159.0996405
1120,0,700,699.0126707,0.974819125,1076,1063.461313,157.2186666
1120,1,734,735.4171053,2.00818742,1184,1190.512173,42.40839447
1120,2,733,734.8199422,3.31218969,1234,1245.679865,136.4192402
1130,0,700,699.2891826,0.505261382,1076,1063.98053,144.4676676
1130,1,734,735.2965973,1.681164662,1184,1191.361791,54.19597167
1130,2,733,734.2868225,1.655912035,1234,1246.473372,155.5849992
1140,0,700,699.3149388,0.469308796,1076,1063.738056,150.3552643
1140,1,734,734.3926391,0.154165474,1184,1189.931974,35.18831321
1140,2,733,734.5831688,2.506423446,1234,1245.291504,127.4980519
1150,0,700,698.470771,2.338541415,1076,1063.289436,161.5584287
1150,1,734,735.0237896,1.048145102,1184,1190.428481,41.32537438
1150,2,733,734.3995015,1.958604329,1234,1245.64237,135.544771
1160,0,700,699.3071251,0.480075674,1076,1062.903319,171.5230594
1160,1,734,735.0885608,1.184964509,1184,1191.49794,56.21911003
1160,2,733,735.0905851,4.370546101,1234,1246.244813,149.9354348
1170,0,700,698.7714017,1.509453775,1076,1063.474461,156.8891386
1170,1,734,735.2479173,1.557297712,1184,1190.773308,45.87770349
1170,2,733,735.4745197,6.123247927,1234,1245.499856,132.246696
1180,0,700,698.9033968,1.202538649,1076,1063.392605,158.9463985
1180,1,734,735.3472387,1.815052009,1184,1190.847673,46.8906311
1180,2,733,734.7605328,3.099475723,1234,1245.119993,123.6542452
1190,0,700,699.1487736,0.72458644,1076,1063.368959,159.5431978
1190,1,734,735.0109902,1.022101089,1184,1190.48544,42.06092736
1190,2,733,735.1342634,4.555080467,1234,1245.199281,125.4238973
1200,0,700,698.8649247,1.288395983,1076,1062.971443,169.7432961
1200,1,734,734.96006,0.921715242,1184,1190.931557,48.04647866
1200,2,733,734.2156809,1.477879974,1234,1246.10605,146.5564464
1210,0,700,699.3739864,0.391892997,1076,1063.296491,161.3791497
1210,1,734,734.9816748,0.963685443,1184,1191.317146,53.54062269
1210,2,733,734.9365175,3.750099891,1234,1246.191609,148.6353225
1220,0,700,698.9954364,1.009147939,1076,1063.409344,158.5246156
1220,1,734,735.35221,1.828471902,1184,1190.701847,44.91475922
1220,2,733,734.5580277,2.427450467,1234,1246.386086,153.4151278
1230,0,700,699.5003993,0.249600853,1076,1063.895593,146.5166707
1230,1,734,734.8491746,0.721097577,1184,1191.235095,52.34660438
1230,2,733,734.6646127,2.770935446,1234,1245.930522,142.3373442
1240,0,700,699.1570044,0.710641536,1076,1062.834888,173.3201799
1240,1,734,734.9432476,0.88971601,1184,1191.516813,56.50247904
1240,2,733,734.6898636,2.855639086,1234,1245.617603,134.9686997
1250,0,700,698.704294,1.678853924,1076,1064.0314,143.2473912
1250,1,734,735.1309276,1.278997152,1184,1190.89264,47.50848182
1250,2,733,734.628338,2.651484634,1234,1245.830681,139.9650025
1260,0,700,699.0150252,0.970175349,1076,1062.678694,177.4571937
1260,1,734,735.2317343,1.517169351,1184,1190.841557,46.80690303
1260,2,733,734.3289144,1.76601352,1234,1245.759592,138.2880103
1270,0,700,699.4666926,0.284416737,1076,1063.038068,168.0116844
1270,1,734,735.2681847,1.608292402,1184,1190.714845,45.08914053
1270,2,733,734.4758218,2.178049999,1234,1246.627007,159.4413062
1280,0,700,698.8204494,1.391339544,1076,1063.118361,165.9366116
1280,1,734,735.2334071,1.521293192,1184,1191.583223,57.50527837
1280,2,733,734.8671893,3.486396007,1234,1246.344907,152.3967256
1290,0,700,699.4425371,0.310764858,1076,1063.472241,156.9447334
1290,1,734,735.2982198,1.685374523,1184,1190.49847,42.23011319
1290,2,733,734.8929058,3.583092411,1234,1244.739317,115.3329286
1300,0,700,698.8693244,1.278427358,1076,1063.307712,161.0941667
1300,1,734,735.5009832,2.25295055,1184,1190.57845,43.27600035
1300,2,733,734.8759802,3.519301728,1234,1245.493225,132.0942197
1310,0,700,698.931664,1.141341784,1076,1062.979755,169.5267809
